legacy_r_number,r_number,customer_name,customer_number,type_short,description_invoice,description_private,voltage,wattage,die_shape
R2056,R2056,ASTRON PLASTICS,C000026,SPP,,2 CUT  OUTS T SHAPED ,240,1300,900X125 S/L930
R2057,R2057,AUSTRALIAN FILM & PIPE,C000030,SCB,,1.5Mtr Lead @180Deg 32mm Hole30from leads,240,3200,L378 x W140
R2058,R2058,FENSKE,C000069,SCB,,"1""T/C @90Deg",240,1600,230 x 160
R2059,R2059,FOSTER PLASTICS - VIC,C000074,BCB,,SCREW TERMINALS,240,1200,200 x 80
R2060,R2060,FENSKE,C000069,PP,,FOR PARMOUNT PLASTIC,240,490,118 x 125
R2061,R2061,FENSKE,C000069,PP,,FOR PARMOUNT PLASTIC,240,280,100 x 140.
R2062,R2062,FENSKE,C000069,PP,,FOR PARMOUNT PLASTIC,240,550,240 x 30
R2063,R2063,ENVIRO PLASTIC RECYCLE,C000063,SCKB,,,240,2500,240 x 75
R2064,R2064,ISTRA ELEMENTS,C000094,SPP,,2 Elements in band El(1) W280 El(2) W160 800mm Leads,240,440,240X90 S/L665
R2065,R2065,ISTRA ELEMENTS,C000094,SCB,,Ceramic Terminal Block & Housing,240,2000,160X230 S/L228
R2066,R2066,G JAMES EXTRUSION,C000077,SCB,,Plugall @180Deg,240,2400,330 x 50
R2067,R2067,EXTRUSION TECH,C000066,SPEC,,NO SHEATH 150mm Leads @90Deg,240,1450,D175mm x W130mm
R2068,R2068,GARMEX,C000078,SCB,,Plugall @90Deg,240,650,190 x 80
R2069,R2069,GARMEX,C000078,BCB,,150mm Leads @180 Deg in fish spine beads,240,500,105 x 57
R2070,R2070,PROCOM PLASTICS EXTRUSIONS,C000152,SCB,,"3/4"" T/C Hole@90Deg ",240,525,124 x 37
R2071,R2071,ROMAR ELEMENTS,C000166,SCB,,Screw Terminals @180Deg,240,2200,100 x 50
R2072,R2072,PROCOM PLASTICS EXTRUSIONS,C000152,SCB,,Plugall @180 Deg,240,1500,145 x 145
