legacy_r_number,r_number,customer_name,customer_number,type_short,description_invoice,description_private,voltage,wattage,die_shape
R2856,R2856,SILVER FOX CHEMICALS,C000173,SCB,,"1/2""T/C Hole @90Deg 20mm from edge, Plugall @180Deg",240,1800,270 x 80
R2857,R2857,TRUCKMATE,C000192,SCB,,"Ceramic Term House @ 180Deg,Gland 1 side 9/16""Hole on other",240,2700,220 x 75
R2858,R2858,TRUCKMATE,C000192,SCB,,"Ceramic Term House @ 180Deg,Gland 1 side 9/16""Hole on other",240,2200,350 x 75
R2859,R2859,TRUCKMATE,C000192,SCB,,"Ceramic Term House @ 180Deg,Gland 1 side 9/16""Hole on other, 1""t/c @90deg",240,3500,350 x 60
R2860,R2860,SILVER FOX CHEMICALS,C000173,SCB,,"T/C Nut & Bush& BF4 @90Deg 25from side, Plug@180deg",240,3200,409 x 85
R2861,R2861,ZEZT,C000223,SSCB,,"1""T/C HOLE 110mm from edge in centre of S/L, Plugall 200mm from clamp",240,3200,330 x 90
R2862,R2862,POLYPIPE,C000141,PP,,"5x5/8""Holes, Plugall Outlet",240,2200,1190X200 S/L915
R2863,R2863,POLYPIPE,C000141,SCB,,2X32mmX96mm Long Holes@90Deg & 270Deg Ceramci Term Box @180deg,240,1300,390 x 190
R2864,R2864,CROMFORD PIPE MOSSVALE,C000051,SSCB,,"Piano Hinge, 1/2"" T/C Hole @90Deg, Quick Release Clamp",240,400,98 x 140
R2865,R2865,CHEMSON PACIFIC,C000042,CKB,,6 Holes,240,Undefined,80X60 S/L120
R2866,R2866,PIPE COUPLINGS AUSTRALIA,C000131,SCB,,"1/2""T/C Hole @90Deg, Plugall @180Deg",240,725,Undefined
R2867,R2867,ALPHATRONICS,C000018,SPP,,500mm Leads 50 from edge & 75 from each side,415,1000,60 x 110
R2868,R2868,CINQPLAST PLASTOP,C000044,SCB,,RIGHT HAND BAND Band in 2 halves.Hinged & Cross Terminated,240,1500 Total,140X245 S/L200
R2869,R2869,CINQPLAST PLASTOP,C000044,CKB,,"5mm Tapped Tube135mm from gap, 200mm Leads @90 Deg",240,950,90X198 S/L110
R2870,R2870,VINIDEX - PERTH,C000200,SIBH,,Ceramic Terminal Close to clamp gap,240,2250,115 x 45
R2871,R2871,TUSCAN INDUSTRIES,C000194,PP,,"4x3/8""Bolt Holes, 3/4""T/C, Plugall on 260mm Side centre",240,750,OD650X300 S/L1010
R2872,R2872,TUSCAN INDUSTRIES,C000194,PP,,"4x3/8""Bolt Holes, 3/4""T/C, Plugall on 108mm Side centre",240,250,260 x 185
R2873,R2873,ISTRA ELEMENTS,C000094,SCB,,Plugall @90Deg,415,2000,185 x 108
R2874,R2874,APP,C000024,SPP,,Screw Terminals 10 from ends,115,1250,270 x 85
R2875,R2875,TECHPLAS EXTRUSION  ,C000184,SSCB,,"3/4"" T/C Hole, Ceramic Term Box. ",240,1000,217X90 S/L342
R2876,R2876,ACACIA PRODUCTS,C000002,SCB,,"20mm Clamp Gap, Plugall @ 180Deg",240,1200,270X50 S/L750
R2877,R2877,TECHPLAS EXTRUSION  ,C000184,SCB,,"1""T/C Hole 90Deg, Plug @180 Deg",240,2000,150 x 80
R2878,R2878,CROMFORD PIPE MOSSVALE,C000051,ICKB,,"INTERNAL BAND, 1 Mtr Leads",240,2000,170 x 110
R2879,R2879,VINIDEX - PERTH,C000200,SSCB,,30X30 Cut Out Centre Plugall Left of Cut Out,240,3000,210 x 190
R2880,R2880,VINIDEX - PERTH,C000200,SSCB,,"30x30 Cut Out Centre, 70x45 Cut Out 150 from end, Plugall Right of Cut Outs",240,3000,830X80 S/L1290
R2881,R2881,VINIDEX - PERTH,C000200,SSCB,,"1""T/C Hole Centre, Plugall Outlet",240,1800,830X80 S/L1290
R2882,R2882,DAVID PLASTIC CO,C000056,SCB,,"Sheath only in 2 halves, Ceramic Block Terminal",415,1200,840X40 S/L1300
R2883,R2883,ASTRON PLASTICS,C000026,SCKB,,4 Mtr Leads,240,350,200 x 70
R2884,R2884,ASTRON PLASTICS,C000026,SCKB,,"4 Mtr Leads,130mm Straps each side,3/8'' T/C with Nut & bush",240,350,155X65 S/L105
R2885,R2885,CINQPLAST PLASTOP,C000044,CKB,,15x40mm Cut out at end,240,2000,155X65 S/L105
R2886,R2886,DAVID PLASTIC CO,C000056,SCB,,"5/8""Hole, Ceramic Block Termination 20from end, Band offset to sheath",240,2500,130 x 145
R2887,R2887,PROFILE PLASTIC EXTRUSIONS,C000153,SCB,,"3/4""T/C Hole @90Deg 18from edge, Plugall @180 Deg",240,1500,200 x 170
R2888,R2888,CROMFORD PIPE MOSSVALE,C000051,SCB,,"9/16""T/C@90 Deg with Nut & bush, Plugall @180deg",240,520,170 x 92
R2889,R2889,PIPE COUPLINGS AUSTRALIA,C000131,SCB,,"40x40 Cut Out @90 Deg, Plugall @180Deg",240,1800,100 x 55
R2890,R2890,PIPE COUPLINGS AUSTRALIA,C000131,CKB,,2 Way  Ceramic Block @180Deg,240,1250,188 x 90
R2891,R2891,CALAIR SYSTEMS,C000040,SSCB,,"20mm Hole Centre, 60Wide x 35Deep Cut out 85mm from top edge on end. P/all",240,1600,90 x 110
R2892,R2892,CALAIR SYSTEMS,C000040,SSCB,,"20mm Hole Centre, 60Wide x 35Deep Cut out 85mm from bottom edge on end. P/all",240,1600,290X210 S/L440
R2893,R2893,CALAIR SYSTEMS,C000040,SCB,,"20mm Hole @90Deg, Plugall 70 from end",240,1500,290X210 S/L440
R2894,R2894,CALAIR SYSTEMS,C000040,SCB,,"20mm Hole 215mm from end, 40Wide x 42Deep Cut out195 from hole Plug 50from end",240,1500,320 x 60
R2895,R2895,CALAIR SYSTEMS,C000040,SCB,,"20mm Hole 215mm from end,  Plug 70 from end",240,600,250 x 80
R2896,R2896,CALAIR SYSTEMS,C000040,SCB,,"2x1""Holes @ 90Deg & 270Deg, Plug 30 from end",240,400,120 x 60
R2897,R2897,PIPE COUPLINGS AUSTRALIA,C000131,SCB,,"32x55Long Hole@180Deg, 2x3/4""T/C Hole @90& 270Deg, Plug @45 Deg ",240,2400,68 x 60
R2898,R2898,PIPE COUPLINGS AUSTRALIA,C000131,SCB,,"1""T/C Hole @180Deg Plug @90Deg",240,2300,330 x 95
R2899,R2899,PIPE COUPLINGS AUSTRALIA,C000131,SCB,,"1""T/C Hole @180Deg Plug @90Deg",240,3200,248 x 100
R2900,R2900,PIPE COUPLINGS AUSTRALIA,C000131,SCB,,"1""T/C Hole @180Deg Plug @45Deg",240,2300,240 x 150
R2901,R2901,PIPE COUPLINGS AUSTRALIA,C000131,SCB,,Plugall @ 45Deg,240,2700,321 x 75
R2902,R2902,PIPE COUPLINGS AUSTRALIA,C000131,SCB,,"70x70 Cut Out @ 45Deg, 1""T/C Hole 315Deg, Plugall @ 180Deg",240,3600,282 x 100
R2903,R2903,PIPE COUPLINGS AUSTRALIA,C000131,SSCB,,"1""T/C Hole Centre, Plugall @ 45Deg",240,1500,D375mm x W130mm
R2904,R2904,PIPE COUPLINGS AUSTRALIA,C000131,SSCB,,Plugall @ 45Deg,240,1200,285X130 S/L435
R2905,R2905,CROMFORD PIPE MOSSVALE,C000051,SSCB,,"32mm T/C @90Deg , Plug@45deg",240,3000,368X70 S/L564
R2906,R2906,CROMFORD PIPE MOSSVALE,C000051,CKB,,"1""T/C Hole @ 180Deg, 200mm Lead @45 Deg",415,2250,455X285 S/L700
R2907,R2907,SEALED AIR AUSTRALIA,C000171,SSCB,,500mm Leads 40mm From end,240,300,D240mm x W100mm
R2908,R2908,FENSKE,C000069,SPP,,"12x1/2""Bolt Holes, 3/4""T/C Hole 75 from side, Plugall",240,2800,125X38 S/L190
R2909,R2909,FENSKE,C000069,SPP,,"12x1/2""Bolt Holes, 32mmT/C Hole 80 from Plug, Plugall SIMILAR TO R2915",240,1200,505+80X175
R2910,R2910,VINIDEX - HEAD OFFICE,C000201,CKB,,,240/415,10300,505+140X60
R2911,R2911,THOMAS THOMS,C000190,SCB,,Plugall @ 180Deg,240,1200,245 x 535
R2912,R2912,ZEZT,C000223,SSCB,,"BATTENFELD 800 Band 3,32mm T/C Hole Centre Plugall 100mm from end",240,3400,282 x 40
R2913,R2913,ALPHATRONICS,C000018,SCB,,"3/4""T/C Hole @90Deg, Plugall @180Deg",240,1500,887x140 S/L1380
R2914,R2914,VINIDEX - HEAD OFFICE,C000201,SCB,,"1.5Mtr LF/Glass Leads, Otuer strap spot welded for clamping",240,295,400 x 50
R2915,R2915,FENSKE,C000069,SPP,,"12x1/2""Bolt Holes, 32mmT/C Hole 80 from Plug, Plugall SIMILAR TO R2909",240,1200,96 x 35
R2916,R2916,ISTRA ELEMENTS,C000094,SSCB,,"2 Way Term Block 45mm from End, 110mm Clamp[ Gap",Undefined,1200,505+140X60
R2917,R2917,VINIDEX - PERTH,C000200,SSCB,,"BATTENFELD 800 Band 4,Sheath is 75mm Longer than Band each end. Plug ",240,3400,170X80 S/L450
R2918,R2918,DINCEL CONSTRUCTION,C000058,CKB,,FINNED,415,1500,1305X120 S/L2030
R2919,R2919,DINCEL CONSTRUCTION,C000058,CKB,,"FINNED, HOLE",415,1500,250X30 APROX
R2920,R2920,DINCEL CONSTRUCTION,C000058,CKB,,FINNED,415,1500,250X45 APROX
R2921,R2921,CROMFORD PIPE MOSSVALE,C000051,SCB,,"9/16""T/C with Nut & Bush @90Deg Centre, Plugall @ 1800Deg, Latch & Hook",240,1250,250X45 APROX
R2922,R2922,APP,C000024,SCB,,Layflat plugall @ 180Deg,240,1100,136 x 85
R2923,R2923,PCA,C000129,SCB,,"STD HX P/ALL 1"" THERMO",240,1200,140 x 100
R2924,R2924,DINCEL CONSTRUCTION,C000058,SCB,,"STD HEATREX PLUGALL 1"" THERMO HOLE",240,3200,80 x 140
R2925,R2925,PCA,C000129,SCB,,"STD HEATREX PLUGALL 70MM CUT OUT 1"" HOLE",240,2200,D380mm x W80mm
R2926,R2926,FLUORO PACIFIC,C000071,CKB,,2 Elements in parallel,240,2200 Peer El,120 x 250
R2927,R2927,HI PRECISION PROFILES,C000085,SBCB,,"30mm Clamp Gap, 5/16""Bolts other end, Plugall Outlet",240,600,130 x 320
R2928,R2928,HI PRECISION PROFILES,C000085,SBCB,,"30mm Clamp Gap, 5/16""Bolts other end, Plugall Outlet",240,200,275X40 S/L578
R2929,R2929,CINQPLAST PLASTOP,C000044,SCB,,"2Way Ceramic Terminal Block 120 from end, T/C Hole 55 from end/20from side ",240,1300,275x40 S/L146
R2930,R2930,VINIDEX - PERTH,C000200,SCB,,"1""T/C Hole @180Deg, Plugall @90Deg",240,3200,208 x 64
R2931,R2931,VINIDEX - PERTH,C000200,SSCB,,"32mm T/C Hole 365 from end 45mm from edge, Plugall centre",240,3200,395 x 120
R2932,R2932,VINIDEX - PERTH,C000200,SSCB,,"32mm T/C Hole 365 from end, Plugall centre,2x1""Holes other end 45 from edge",240,3200,745X110 S/L1155
R2933,R2933,SEALED AIR AUSTRALIA,C000171,SCB,,Plugall @ 90Deg,240,720,745X110 S/L1155
R2934,R2934,SEALED AIR AUSTRALIA,C000171,SCB,,Plugall @ 90Deg,240,1300,228 x 25
R2935,R2935,TECHPLAS EXTRUSION  ,C000184,SCB,,Plugall @ 90Deg,240,675,228 x 60
R2936,R2936,WASSON ENG,C000213,SCB,,Ceramic Term Box @ 180Deg,240,1800,160 x 70
R2937,R2937,WASSON ENG,C000213,SCB,,Ceramic Term Box @ 180Deg,240,1800,210 x 100
R2938,R2938,POLYPIPE,C000141,SCB,,"2Mtr Leads @180Deg, 20mm T/C @ 90Deg",240,750,190 x 100
R2939,R2939,FENSKE,C000069,SCB,,"32mm T/C @90Deg, Plugall @ 180Deg",240,3200,215 x 36
R2940,R2940,FENSKE,C000069,SCB,,Plygall @ 180Deg,240,875,230 x 140
R2941,R2941,VINIDEX - COOPERS PLAINS,C000202,SSCB,,Ceramic Terminal Box Centre ,240/415,1800,230 x 35
R2942,R2942,VINIDEX - COOPERS PLAINS,C000202,SSCB,,Ceramic Terminal Box Centre ,240/415,925,1260X100 S/L640
R2943,R2943,HI PRECISION PROFILES,C000085,BCB,,Plugall on 50mm S/S Tube @180 Deg,240,500,1020X60 S/L520
R2944,R2944,PARKER ENGINEERING,C000127,SCB,,60mm Lead in Fish Beads @90Deg 25Deep x 15 Wide Cout out @ clamp,240,1200,88 x 95
R2945,R2945,HI PRECISION PROFILES,C000085,SCB,,"Plugall @ 90Deg, 3/4""T/C Hole opposite end 35mm from clamp gap",240,900,100 x 130
R2946,R2946,TAPEX,C000182,SCB,,"2 Way Ceramic Terminal Box @90Deg, 32mm T/C Hole @225Deg",240,2500,275 x 45
R2947,R2947,VINIDEX - COOPERS PLAINS,C000202,SSCB,,2Way Ceramic Terminal Housing Centre,240/415,2500,185 x 130
R2948,R2948,VINIDEX - COOPERS PLAINS,C000202,SSCB,,2Way Ceramic Terminal Housing Centre,240/415,2000,1209X85 S/L955
R2949,R2949,VINIDEX - COOPERS PLAINS,C000202,SSCB,,2Way Ceramic Terminal Housing Centre,240,700,1400X60 S/L1100
R2950,R2950,CROMFORD PIPE MOSSVALE,C000051,SBH,,1Mtr Leads out each end,240,685,980X30 S/L770
R2951,R2951,CROMFORD PIPE MOSSVALE,C000051,SBH,,1Mtr Leads out each end,240,750,66 x 150
R2952,R2952,VINIDEX - COOPERS PLAINS,C000202,SSCB,,"32mm T/C Hole Centre, Ceramic Terminal Box 160 from hole",240/415,4000,145 x 75
R2953,R2953,VINIDEX - COOPERS PLAINS,C000202,SCKB,,"32mm T/C Hole Centre, Ceramic Terminal Box 250mm from end",240/415,5500,480X200 S/L740
R2954,R2954,POLYPIPE,C000141,SCB,,"Plug @ 90Deg, 3/4""T/C Hole @180Deg 15mm from side",240,300,650X96 S/L1005
R2955,R2955,CLOVER PLASTICS,C000048,SCB,,Plug is 100mm from clamp on sheath & 50mm on inner,240,1850,100 x 50
R2956,R2956,VINIDEX - PERTH,C000200,SSCB,,"BATTENFELD 800 Band 7A,50 long x 30 Hole 155mm form clamp, Plugall Centre  ",240,3200,166 x 120
R2957,R2957,VINIDEX - PERTH,C000200,SSCB,,"BATFLD 800 Bnad 7B,50 long x 30 Hole 155mm form clamp, Plugall, 90x90 Cut Out",240,3200,1190X150 S/L910
R2958,R2958,VINIDEX - HEAD OFFICE,C000201,SSCB,,"32mm T/C Hole Centre, Ceramic Terminal Box 45Deg",240/415,7350,1190X150 S/L920
R2959,R2959,VINIDEX - HEAD OFFICE,C000201,SSCB,,"32mm T/C Hole Centre, Ceramic Terminal Box 45Deg",240/415,5400,483X400 S/L745
R2960,R2960,APP,C000024,SCB,,Band offset Screw Terminals,240,1850,483X300 S/L745
R2961,R2961,CROMFORD PIPE MOSSVALE,C000051,SSCB,,32mm T/C Hole 95 from left side P/All 100mm from clamp,240,6000,265 x 90
R2962,R2962,CROMFORD PIPE MOSSVALE,C000051,SSCB,,32mm T/C Hole 95 from right side P/All 100mm from clamp,240,6000,1100X145 S/L 1720
R2963,R2963,PIPE COUPLINGS AUSTRALIA,C000131,SCB,,SCREW TERMINALS only,240,600,1100X145 S/L 1720
R2964,R2964,APP,C000024,CKB,,3Mtr Leads,240,2300,75 x 75
R2965,R2965,VINIDEX - WAGGA WAGGA,C000209,ICKB,,"INTERNAL BAND, 5 Mtr Leads @180Deg, 13mm T/C 85mm from leads ",415,1000,130 x 124
R2966,R2966,VINIDEX - COOPERS PLAINS,C000202,SSCB,,"Odd Shape Side A & B 3/4""T/C Hole Centre, 3Mtr Leads",240,400, OD240 x 65
R2967,R2967,SILVER FOX CHEMICALS,C000173,SCB,,"T/C @90Deg, Plug@180deg",240,1050,100 x 100 S/L140
R2968,R2968,VINIDEX - PERTH,C000200,SIBH,,INTERNAL BAND Ceramic Termination Close to Clamp,240,2500,250 x 40
R2969,R2969,EXTRUSION TECH,C000066,SCB,,"D40xL95 Cut Out, 2x3/4""T/C Holes, Plugall 205 from gap",Undefined,1200,OD575X150 S/L875
R2970,R2970,ALDRIDGE TRAFFIC SYSTEMS,C000015,SBCB,,"3/4""T/C Hole 50mm from gap, Ceramic Term Hous @ 90 Deg",240,2750,160 x 95
R2971,R2971,APP,C000024,RAPP,,"1""T/C Hole centre short side, Plugall long side",240,100,128 x 225
R2972,R2972,APP,C000024,RAPP,,32mm T/C Hole Centre Long Side. Plugall short side,240,1100,320+150X70
R2973,R2973,CINQPLAST PLASTOP,C000044,SCB,,Layflat plugall @ 180Deg,240,100,320+150X70
R2974,R2974,ASTRON PLASTICS,C000026,PP,,"50mm Hole, 3/4""T/C Hole, 4x15mmBolt Holes, Plugall on 220side",240,1250,100 x 40
R2975,R2975,VINIDEX - COOPERS PLAINS,C000202,SCB,,"1""T/C Hole @90Deg 40 from edge, Plugall @ 180Deg",240,2200,220 x 175
R2976,R2976,APP,C000024,SCB,,"3/4""T/C Hole @180Deg, Plugall @ 45Deg",240,750,240 x 85
R2977,R2977,ASTRON PLASTICS,C000026,CKB,,6 IN CASING NO CUT OUTS,240/415,6000,115 x 60
R2978,R2978,DINCEL CONSTRUCTION,C000058,SPP,,"6x 3/8""Bolt Holes, 1x3/4: T/C Hole, 1x7/8""Hole Plugall on short side",240,3150,145 x 415
R2979,R2979,TAPEX,C000182,PP,,"6x1/2""Bolt Holes, 1x1""Hole, Solder 40mm 1/6 Wire cover with fish beads",380,600,450 x 200
R2980,R2980,ISTRA ELEMENTS,C000094,SCB,,Plugall @180Deg. Stamp OG83 on Band,240,500,170 x 130
R2981,R2981,VINIDEX - PERTH,C000200,SSCB,,"1""T/C Hole Centre, Plugall @ 45Deg",240,3400,140 x 40
R2982,R2982,THOMAS THOMS,C000190,PP,,"4x1/2""Bolt Holes, Plugall on short end",240,600,1285X70 S/L2000
R2983,R2983,MURABAN LAB,C000121,SCB,,"3/4""T/C Hole @ 90 deg, Plugall @ 180 Deg",240,1200,310 x 100
R2984,R2984,VINIDEX - PERTH,C000200,SCB,,Plugall @ 180 Deg,240,1600,242 x 55
R2985,R2985,MURABAN LAB,C000121,SCB,,"3/4""T/C Hole @ 90 deg, Plugall @ 180 Deg",240,1400,165 x 90
R2986,R2986,VINIDEX - PERTH,C000200,SCB,,Plugall @ 180Deg,240,1700,240 x 55
R2987,R2987,DINCEL CONSTRUCTION,C000058,SCB,,"2x32mm Holes@ 180Deg & 210Deg, Plugall @ 90 Deg",240,2500,155 x 100
R2988,R2988,DINCEL CONSTRUCTION,C000058,SCB,,"32mm Holes @ 45,90,225 & 270Deg Plug @180Deg",240,3500,400 x 58
R2989,R2989,DINCEL CONSTRUCTION,C000058,SPP,,"6x 3/8""Bolt Holes, 1x3/4: T/C Hole, 1x7/8""Hole Plugall on short side",240,2200,250 x 130
R2990,R2990,MURABAN LAB,C000121,SCB,,Screw Terminals ,240,1250,450 x 160
R2991,R2991,AUSTRALIAN CUSTOM PIPES,C000003,SCB,,"1""T/C Hole @ 180Deg, 2 Way Termindl Box @ 90Deg",240,4500,120 x 95
R2992,R2992,APP,C000024,SCB,,M5x16mm Scew Terminals 20mm from end,220,3300,400 x 120
R2993,R2993,RBM PLASTIC EXTRUSION,C000157,SCB,,"2x25mm Cut-outs @ 120deg & 300deg, 1""T/C @ 180deg, Plugall @ 240Deg",240,700,242 x 113
R2994,R2994,MURABAN LAB,C000121,SCB,,Screw Terminals,240,750,134 x 50
R2995,R2995,THOMAS THOMS,C000190,SSCB,,"Fold Over Clamps, Plugall centre",240,1000,120 x 60
R2996,R2996,APP,C000024,SPP,,"2x1/4""Bolt Holes 117 from end, 90mm Leads 130mm form end",240,2600,190X90 S/L342
R2997,R2997,VINIDEX - PERTH,C000200,SCB,,Ceramic Terminal Box @180Deg,240/415,3900,D290mm X W260mm  S/L442
R2997 CKB,R2997,VINIDEX - PERTH,C000200,CKB,,3 Phase terminal box no holes,240/415,3800,D230mm x W140mm
R2998,R2998,VINIDEX - PERTH,C000200,SCB,,Plugall @180deg,240,2000,230 x 140
R2999,R2999,ACACIA PRODUCTS,C000002,SCB,,"15mm Clamp Gap, Plugall @ 180Deg",240,1100,230 x 80
R3000,R3000,VINIDEX - PERTH,C000200,SCB,,"3Mtr Leads @ 90deg, 20x20 Cut Out @ 180Deg",240,400,120 x 90
R3001,R3001,VINIDEX - PERTH,C000200,SCB,,"3Mtr Leads @ 90deg, 20x20 Cut Out @ 180Deg",240,1350,70 x 55
R3002,R3002,VINIDEX - PERTH,C000200,SCB,,"3Mtr Leads @ 90deg, 20x20 Cut Out @ 180Deg",240,675,130 x 95
R3003,R3003,UGM MANUFACTURING,C000195,SCB,,"1""T/C Hole @90Deg , Plugall @180Deg",240,900,90 x 70
R3004,R3004,AUSTRALIAN CUSTOM PIPES,C000003,SCB,,"3/4""T/c Hole @90Deg Plugall @180Deg",240,1300,D130mm x W80mm
R3005,R3005,POLYPIPE,C000141,SCKB,,"7/8""T/C Hole Centre",240/415,7700,50 x 246
R3006,R3006,APP,C000024,CKB,,6 Elements in 2 Sheaths with guard supplied,240/415,5200,1065X150 S/L1675
R3007,R3007,CINQPLAST PLASTOP,C000044,SCB,,LEFT HAND BAND Band in 2 halves.Hinged & Cross Terminated,240,1500 Total,205 x 220
R3008,R3008,CINQPLAST PLASTOP,C000044,SCB,,Double Sheathed with Fibrefax in between sheaths.,240,2500,90X198 S/L110
R3009,R3009,CINQPLAST PLASTOP,C000044,SCB,,"2 Cores @ W150 each, 4 Leads out",240,300,150 x 145
R3010,R3010,VINIDEX - WAGGA WAGGA,C000209,SCB,,"3 Pin Euro Outlet @ 90Deg & 3/4""T/C @270Deg",240,2000,35 x 75
R3011,R3011,VINIDEX - WAGGA WAGGA,C000209,CKB,,200mm Leads @ 90Deg,240,900,308 x 82
R3012,R3012,FENSKE,C000069,PP,,"4x1/2""Bolt Holes,1x3/4""T/C Hole, Plugall on short end",240,1200,250 x 100
R3013,R3013,FENSKE,C000069,PP,,"4x1/2""Bolt Holes,1x3/4""T/C Hole, Plugall on short end",240,900,300 x 130
R3014,R3014,FENSKE,C000069,PP,,"4x1/2""Bolt Holes,2x3/4""T/C & Bolt Hole, Plugall on short end",240,2600,220 x 130
R3015,R3015,FENSKE,C000069,PP,,"4x1/2""Bolt Holes,1x3/4""T/C Hole &  Bolt Hole, Plugall on short end",240,3400,375 x 220
R3016,R3016,PIPE COUPLINGS AUSTRALIA,C000131,SCB,,Plugall @ 180 Deg,240,440,475 x 300
R3017,R3017,PIPE COUPLINGS AUSTRALIA,C000131,SCB,,Plugall @ 180Deg,240,175,80 x 50
R3018,R3018,WASTE ENTERPRISES,C000214,CKB,,,240,1700,63 x 25
R3019,R3019,VINIDEX - PERTH,C000200,SCB,,"Layflat plugall @ 180Deg, Quick release clamp",240,3200,235 x 32
R3020,R3020,MARCO EXTRUSION,C000107,SCB,,"2x 50x30 Cut outs @ 90 @ 270Deg, Plugall @ 180Deg",240,1900,240 x 125
R3021,R3021,FRESH & GREEN AUSTRALIA,C000075,SCB,,"9/16"" T/C@90Deg, Plugall @ 180Deg",240,1050,160 x 110
R3022,R3022,ASTRON PLASTICS,C000026,SCB,,2 Mtr Leads @ 90Deg,415,250,381 x 35
R3023,R3023,UGM MANUFACTURING,C000195,SBCB,,,240,600,63 x 90
R3024,R3024,VINIDEX - PERTH,C000200,CKB,,Ceramic Terminal Box @ 180Deg,240/415,4000,55X140 S/L85
R3025,R3025,SEALED AIR AUSTRALIA,C000171,SCB,,"Screw Terminals 25mm for each end, Sheath Offset",240,1500,D245mm x W145mm
R3026,R3026,CSIRO,C000052,SCB,,"1 Mtr Leads with ""J""T/C hardwired@180Deg, 5/8""T/C Hole with Ntu & Bush @90",240,500,290 x 45
R3027,R3027,CSIRO,C000052,SCB,,"5/8""T/C with Nut & Bush @ 90 Deg, 32mm T/C Hole @ 270Deg, Plugall @ 180",240,2200,165 x 90
R3028,R3028,FENSKE,C000069,PP,,"2X7/8""Holes 135 & 255 from long edge Plugall 60 from long edge 1/2""Bolt holes",240,3600,195 x 105
R3029,R3029,FENSKE,C000069,PP,,"2X7/8""Holes 100 & 135 from long edge Plugall 50 from long edge 1/2""Bolt holes",240,2300,475 x 300
R3030,R3030,FENSKE,C000069,PP,,"7/8""Hole 255 from short edge Plugall 50 from short edge 1/2""Bolt holes",240,2200,375 x 185
R3031,R3031,FENSKE,C000069,PP,,"7/8""Hole 135 from longt edge Plugall 50 from long edge 1/2""Bolt holes",240,1300,300 x 230
R3032,R3032,CROMFORD PIPE MOSSVALE,C000051,SCB,,"32mm T/C Hole @90Deg, Plugall 180Deg",240,1500,230 x 185
R3033,R3033,CROMFORD PIPE MOSSVALE,C000051,SCB,,"40mm Clamp Gap, 1""T/C Hole 20mm from edge 80mm from plugall @180Deg",240,800,85 x 220
R3034,R3034,CROMFORD PIPE MOSSVALE,C000051,SCB,,Plugall @ 180Deg,240,900,160 x 50
R3035,R3035,CROMFORD PIPE MOSSVALE,C000051,SCB,,Plugall @ 180Deg,240,1600,280 x 40
R3036,R3036,CROMFORD PIPE MOSSVALE,C000051,SCB,,"1""T/C Hole @ 90Deg , Plugall @ 180Deg",240,1000,280 x 50
R3037,R3037,VINIDEX - PERTH,C000200,SCB,,"3/4""T/C Hole 145mm from Clamp Gap, 1.5m Leads  95 from Clamp Gap",240,1200,90 x 110
R3038,R3038,TAPEX,C000182,PP,,"6x1/4"" bolt Holes, 1x3/4""T/C Hole Centre 2 Way Terminal Box",240,750,D180mmx W80mm
R3039,R3039,VINIDEX - PERTH,C000200,SCB,,"32mm T/C Hole @90 Deg, plugall @ 180Deg",240,3600,170 x 130
R3040,R3040,VINIDEX - PERTH,C000200,SCB,,"32mm T/C Hole 70from edge @90Deg, Plugall @ 180Deg",240,3600,455 x 130
R3041,R3041,POLYPIPE,C000141,SCKB,,"2x50mm Holes, 1x55mm Hole,2 2way Teminal boxes joined by lead",240,1800,D255mm x W200mm 
R3042,R3042,MARCO EXTRUSION,C000107,SCB,,2 Way Terminal Block Offset 45 from end NO cover,240,850,410X80 S/L625
R3043,R3043,TAPEX,C000182,SCB,,Plugall @ 180Deg,240,500,90 x 90
R3044,R3044,TECHPLAS EXTRUSION  ,C000184,SPP,,"12x5/16""Bolt Holes, 3/4""T/C Hole, Plugall Outlet ",240,1500,135 x 35
R3045,R3045,FRESH & GREEN AUSTRALIA,C000075,BCB,,Screw Terminals 15mm from end,240,1200,100+100+100 x 215
R3046,R3046,FRESH & GREEN AUSTRALIA,C000075,BCB,,Screw Terminals 15mm from end,240,1100,95 x 115
R3047,R3047,FRESH & GREEN AUSTRALIA,C000075,SBCB,,"2x5/8 Bolt Holes 10mm from End, Plugall 70mm from End, Pivots other End",240,800,105 x 100
R3048,R3048,VINIDEX - COOPERS PLAINS,C000202,SCB,,"1""T/C Hole @180deg, Plugall @45Deg",240,900,230X110 S/L285
R3049,R3049,TAPEX,C000182,BCB,,Plugall @ 90 Deg,240,180,160 x 70
R3050,R3050,FENSKE,C000069,SCB,,"32mm Hole @ 180Deg, 3/4""T/C @ 270deg Plug @90Deg",240,875,55 x 30
R3051,R3051,VINIDEX - PERTH,C000200,IBH,,"Internal Band 4 Mtr Leads with Type ""J""T/C wire",240,1600,120 x 65
R3052,R3052,THERMAL ELECTRIC,C000188,PP,,Mica Element,Undefined,Undefined,320 x 80
R3053,R3053,MM SPRINGS,C000114,SPP,,Plugall centre,240,1800,75 x 75
R3054,R3054,VINIDEX - PERTH,C000200,SCB,,"1""T/C Hole @ 90Deg, Plugall @ 180Deg, 1""Hole @270Deg 20 from edge",240,1150,138X390 S/L185
R3055,R3055,PIPE COUPLINGS AUSTRALIA,C000131,SCB,,"1""T/C Hole @ 90Deg, Plugall @ 180Deg",240,1500,150 x 70
